STS	NMB	LNK	SYM	STY	MKT	EFT	SDE	PRC	SIZ	TRM	OPD	HDI	VER	DCV	TPA	TGP	BOK	ODT	IND	TRD	RGR	STD	STT	CLR	BRK	MBR	ACC	ACT	TOB	TOU	GRS	BNK	BKA	UTY	UTI	UUI	UWS	REF	CSQ	MKP	SSL	PRT	IAC	OQY	CQY	LQY	APX	LPX	OST	CLI	OCL	TXT	ROL	OSQ	IWF	IAL	EWF	EAL	DEA
1	37241840	0	BNET	SHARE-ATS	XRS1	2018-09-10 14:08:51.885	1	1.105000	150	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-10 14:08:51.885	UK8GW3	192.168.252.2		136076	0	0	3	1031605	150	0	0	0.000000	0.000000	0				0	229729854	0	N	3	N	N
1	37241840	0	BNET	SHARE-ATS	XRS1	2018-09-10 13:49:44.254	1	1.125000	150	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-10 13:49:44.255	UK8GW3	192.168.252.2		136067	0	0	3	1031605	150	0	0	0.000000	0.000000	0				0	229722326	0	N	3	N	N
1	37243643	0	BRD	SHARE	REGS	2018-09-10 17:49:03.772	2	14.300000	100	1	20180910	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-10 17:49:03.772	UK8GW3	192.168.252.2		136176	0	0	3	1002117	100	0	0	0.000000	0.000000	0				0	229868684	0	N	3	N	N
1	37240095	0	BRD	SHARE	REGS	2018-09-10 09:55:22.528	1	13.740000	200	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-10 09:55:22.528	UK8GW3	192.168.252.2		135925	0	0	3	1032936	200	0	0	0.000000	0.000000	0				0	229587227	0	N	3	N	N
1	37241864	0	BUCU	SHARE-ATS	XRS1	2018-09-10 12:40:42.948	1	12.300000	11	1	20180910	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-10 12:40:42.948	UK8GW3	192.168.252.2		136017	0	0	3	1012931	11	0	0	0.000000	0.000000	0				0	229695010	0	N	3	N	N
1	37241865	0	BUCU	SHARE-ATS	XRS1	2018-09-10 13:04:36.09	2	13.000000	11	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-10 13:04:36.09	UK8GW3	192.168.252.2		136039	0	0	3	1012931	11	0	0	0.000000	0.000000	0				0	229704919	0	N	3	N	N
1	37241865	0	BUCU	SHARE-ATS	XRS1	2018-09-10 12:41:14.302	2	1300.000000	11	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-10 12:41:14.302	UK8GW3	192.168.252.2		136018	0	0	3	1012931	11	0	0	0.000000	0.000000	0				0	229695331	0	N	3	N	N
0	37241864	0	BUCU	SHARE-ATS	XRS1	2018-09-10 12:40:42.948	1	12.300000	11	1	20180910	0	0	0	1	0.000000	1	1	0	16761487	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-10 12:40:42.949	UK8GW3	192.168.252.2		0	0	0	3	1012931	11	11	11	12.300000	12.300000	2				0	229695011	0	N	3	N	N
1	37241779	0	BVB	SHARE	REGS	2018-09-10 12:28:29.974	1	24.900000	61	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-10 12:28:29.974	UK8TRAMAR	10.50.23.105		0	0	0	3	169	61	0	0	0.000000	0.000000	0				0	229689738	0	N	-42	N	N
1	36379513	0	CACU	SHARE-ATS	XRS1	2018-09-10 15:44:23.115	2	6.900000	1100	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-10 15:44:23.116	UK8GW3	192.168.252.2		136103	0	0	3	1027170	1100	0	0	0.000000	0.000000	0				0	229763755	0	N	3	N	N
